57,Jameer Nelson,PG,31,ORL,48,48,33.0,4.6,11.3,.407,2.3,6.1,.378,2.3,5.2,.440,1.6,1.8,.885,0.4,3.1,3.4,6.5,0.8,0.1,2.4,2.2,13.1
58,Bradley Beal,SG,20,WAS,42,42,33.0,6.6,16.0,.416,2.0,4.7,.431,4.6,11.3,.410,1.7,2.1,.809,0.6,3.1,3.8,3.3,1.0,0.2,1.9,2.1,17.0
59,Tristan Thompson,PF,22,CLE,52,52,32.9,4.5,9.9,.455,0.0,0.0,.000,4.5,9.9,.456,2.8,4.3,.661,3.6,5.8,9.4,0.9,0.5,0.4,1.5,2.3,11.8
60,Russell Westbrook,PG,25,OKC,25,25,32.9,7.6,17.9,.424,1.4,4.4,.309,6.2,13.5,.462,4.8,6.0,.793,1.1,4.9,6.0,7.0,1.8,0.1,4.0,2.1,21.3
61,Steve Blake,PG,33,LAL,26,26,32.8,3.2,8.6,.377,1.9,4.7,.398,1.3,3.8,.350,1.0,1.2,.813,0.3,3.4,3.7,7.8,1.2,0.1,2.6,1.8,9.3
62,Jodie Meeks,SG,26,LAL,48,41,32.6,4.8,10.7,.449,2.2,5.5,.403,2.6,5.3,.496,2.5,3.0,.841,0.4,2.4,2.8,1.7,1.4,0.0,1.5,1.7,14.4
63,Nikola Pekovic,C,28,MIN,44,44,32.5,7.3,13.7,.532,0.0,0.0,,7.3,13.7,.532,3.5,4.7,.751,4.1,5.1,9.1,1.0,0.5,0.5,1.5,2.4,18.0
64,Eric Gordon,SG,25,NOP,48,48,32.5,5.7,13.3,.429,1.5,3.9,.382,4.2,9.4,.448,2.8,3.5,.776,0.5,2.2,2.8,3.2,1.3,0.2,2.1,1.8,15.6
65,Serge Ibaka,PF,24,OKC,53,53,32.5,6.6,12.2,.543,0.3,0.8,.375,6.3,11.4,.554,1.6,2.0,.778,2.6,6.2,8.8,0.9,0.5,2.5,1.6,2.7,15.1
66,DeMarcus Cousins,C,23,SAC,45,45,32.5,8.0,16.7,.482,0.0,0.2,.000,8.0,16.5,.487,6.5,9.1,.719,3.2,8.5,11.7,2.9,1.6,1.2,3.4,3.8,22.6
67,Marcin Gortat,C,29,WAS,51,50,32.5,5.1,9.6,.530,0.0,0.0,1.000,5.1,9.6,.529,1.8,2.6,.707,2.3,6.5,8.7,1.5,0.5,1.5,1.5,2.5,12.1
68,Andre Drummond,C,20,DET,51,51,32.4,5.7,9.3,.613,0.0,0.0,.000,5.7,9.3,.614,1.6,4.0,.409,5.4,7.6,12.9,0.5,1.3,1.9,1.4,3.3,13.0
69,Jeff Teague,PG,25,ATL,48,48,32.3,5.5,13.3,.414,0.7,2.6,.260,4.8,10.7,.451,4.0,4.9,.828,0.5,2.1,2.6,7.3,1.3,0.2,3.2,2.1,15.7
70,Kevin Martin,SG,30,MIN,48,48,32.3,6.5,15.2,.427,1.8,4.5,.399,4.7,10.7,.439,4.2,4.8,.879,0.5,2.8,3.3,2.0,1.0,0.1,1.6,1.8,19.0
71,J.R. Smith,SF,28,NYK,44,11,32.3,4.8,12.3,.389,2.2,5.8,.374,2.6,6.4,.403,1.3,2.1,.609,0.5,3.5,4.0,3.0,0.9,0.2,1.5,2.8,13.0
72,Dirk Nowitzki,PF,35,DAL,51,51,32.2,7.8,15.9,.491,1.6,3.9,.413,6.2,12.0,.517,4.5,4.9,.912,0.5,5.6,6.1,2.8,0.9,0.6,1.4,2.1,21.8
73,Raymond Felton,PG,29,NYK,35,35,32.2,4.2,10.2,.411,1.0,3.2,.310,3.2,7.0,.457,1.1,1.6,.684,0.7,2.0,2.7,5.7,1.0,0.5,2.1,2.5,10.5
74,Tobias Harris,PF,21,ORL,32,26,32.1,5.0,11.8,.427,0.5,2.6,.193,4.5,9.2,.493,3.1,4.0,.787,1.4,6.1,7.5,1.4,0.4,0.3,1.3,2.7,13.7
75,Kendall Marshall,PG,22,LAL,24,15,32.0,4.0,8.8,.450,1.8,3.8,.478,2.1,5.0,.429,0.4,0.5,.692,0.3,2.6,2.9,9.2,0.6,0.0,2.7,1.4,10.1
76,Victor Oladipo,PG,21,ORL,53,31,32.0,4.9,11.8,.414,0.9,2.9,.301,4.0,8.9,.451,3.4,4.4,.775,0.6,3.9,4.4,4.0,1.6,0.6,3.2,2.8,14.0
77,Pau Gasol,C,33,LAL,44,44,31.9,7.0,14.8,.469,0.1,0.3,.308,6.9,14.5,.472,3.0,4.0,.751,2.1,8.0,10.2,3.4,0.4,1.5,2.4,2.1,17.0
78,Patrick Beverley,SG,25,HOU,35,34,31.8,3.4,8.6,.397,1.6,4.6,.350,1.8,4.0,.450,1.2,1.5,.804,1.5,2.5,4.0,2.7,1.4,0.5,1.1,2.9,9.6
79,Brandon Knight,PG,22,MIL,43,40,31.8,5.9,14.3,.412,1.6,4.5,.352,4.3,9.8,.440,3.2,3.9,.820,0.6,3.0,3.6,4.8,1.0,0.1,2.8,1.8,16.6
80,Corey Brewer,SF,27,MIN,51,51,31.8,4.4,9.6,.460,0.9,3.1,.299,3.5,6.5,.536,1.7,2.3,.720,0.7,1.7,2.4,1.6,1.6,0.4,1.4,2.7,11.4
81,Greg Monroe,PF,23,DET,51,51,31.7,5.8,11.1,.519,0.0,0.0,,5.8,11.1,.519,2.7,4.3,.642,3.0,5.7,8.7,2.0,1.0,0.4,2.2,2.4,14.3
82,Nikola Vucevic,C,23,ORL,35,35,31.7,5.7,11.4,.498,0.0,0.0,,5.7,11.4,.498,1.9,2.4,.810,3.2,7.6,10.8,1.7,1.1,0.9,2.2,2.7,13.3
